,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt
1210,2856421,2022,39,100775819,IS0035003S,NSA936507TG005,CA,U,2010,2001,,116.00,116.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1211,2856490,2022,39,100775819,IS0035027S,NSA936604CA3853,CA,U,2010,2001,,963.00,963.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1212,2856534,2022,39,100775819,IS0035038S,NSA937201MA0401,CA,M,2010,2001,,40.00,40.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1213,2856581,2022,39,100775846,IS0035052S,NSA937201MA0803,CA,M,2010,2001,,25.00,25.00,0.00,0.00,EUR,2022-06-21,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1214,2856725,2022,39,100775819,IS0035100S,NSA93749405,CA,M,2010,2001,,36.00,36.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1215,2856588,2022,39,100775819,IS0035053S,NSA937201MA0901,CA,M,2010,2001,,20.00,20.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1216,2856593,2022,39,100775819,IS0035054S,NSA937201MA0902,CA,M,2010,2001,,25.00,25.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1217,2856600,2022,39,100775819,IS0035055S,NSA937201MA0903,CA,M,2010,2001,,25.00,25.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1218,2856644,2022,39,100768489,IS0035067S,NSA937201MR0503,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-15,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1219,2857080,2022,39,100775819,IS0035229S,NSA938192FC0801,CA,U,2010,2001,,15.00,15.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1220,2856950,2022,39,100775819,IS0035188S,NSA937901RB0250,CA,U,2010,2001,,17.00,17.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1221,2857103,2022,39,100775819,IS0035236S,NSA938403SX2007,CA,U,2010,2001,,5.00,5.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
