,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
158,707064,2022,33,100808828,IS0006336S,ABS0638B22,CA,U,2300,2001,,50.00,50.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
159,707080,2022,33,100808828,IS0006337S,ABS0638C12,CA,U,2300,2001,,263.00,263.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
160,707113,2022,33,100808828,IS0006341S,ABS0656A1B1,CA,U,2300,2001,,426.00,426.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
161,707134,2022,33,100808828,IS0006343S,ABS0656B1B1,CA,U,2300,2001,,177.00,177.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
162,707150,2022,33,100808828,IS0006344S,ABS066501,CA,U,2300,2001,,1253.00,1268.00,15.00,3.45,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,3.45,33,2022,1.1971268954509178,False
163,707156,2022,33,100808828,IS0006346S,ABS066601,CA,U,2300,2001,,1920.00,1920.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
164,707160,2022,33,100808828,IS0006348S,ABS066701,CA,U,2300,2001,,1578.00,1565.00,-13.00,4.55,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,4.55,33,2022,-0.8238276299112801,True
165,707189,2022,33,100808828,IS0006352S,ABS0693V1009P,CA,U,2300,2001,,88.00,88.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
166,707215,2022,33,100808828,IS0006355S,ABS0713DW09SEA,CA,U,2300,2001,,214.00,214.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
167,707433,2022,33,100808828,IS0006381S,ABS0916B04,CA,M,2300,2001,,300.00,300.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
