,id,year,week,purchase_requisition,item_of_requisition,deletion_indicator,purchasing_group,material,division,transferring_division,qte_requested,requisition_date,release_date,valuation_price,base_price,supplier,outline_agreement,principal_agmt_item,purchase_order,purchase_order_item,value
152,158825,2022,41,114407102,10,,A07,4931024,2500,0,2.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
153,158826,2022,41,114407103,10,,A07,4931025,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
154,158827,2022,41,114407104,10,,A07,4931026,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
155,158828,2022,41,114407105,10,,A07,4931027,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
156,158829,2022,41,114407106,10,,A07,4931028,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
157,158830,2022,41,114407107,10,,A07,4931029,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
158,158831,2022,41,114407108,10,,A07,4931066,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
159,158832,2022,41,114407109,10,,A07,4931072,2500,0,2.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
160,158833,2022,41,114407110,10,,A07,4931640,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
161,158834,2022,41,114428639,10,,MA0,4930482,2400,0,35.0,2021-10-04,2021-03-22,0.0,0.0,FM0136,,0,,0,0.0
162,158835,2022,41,114428640,10,,MA0,4930483,2400,0,159.0,2021-10-04,2021-03-22,0.0,0.0,FM0136,,0,,0,0.0
163,158836,2022,41,114455388,10,,MA0,4931040,2000,0,1.0,2021-10-09,2021-02-18,0.0,0.0,F38050,,0,,0,0.0
164,158837,2022,41,114455975,10,,D50,IS0056272E,2030,0,34.0,2021-10-09,2021-03-19,0.0,0.0,,,0,,0,0.0
165,158838,2022,41,114458747,10,,MA0,4930603,2400,0,10.0,2021-10-09,2021-07-15,0.0,0.0,,,0,,0,0.0
166,158839,2022,41,114578090,10,,MA0,4930473,2400,0,5.0,2021-10-16,2021-05-21,0.0,0.0,FM0113,,0,,0,0.0
167,158840,2022,41,114578092,10,,MA0,4930506,2400,0,2.0,2021-10-16,2021-02-25,0.0,0.0,F05699,4600002213.0,1110,,0,0.0
168,158841,2022,41,114578093,10,,MA0,4930506,2400,0,3.0,2021-10-16,2021-05-11,0.0,0.0,F05699,4600002213.0,1110,,0,0.0
169,158843,2022,41,114657277,10,,MA0,4930139,2400,0,3.0,2021-10-23,2021-08-27,0.0,0.0,F05699,4600002213.0,780,,0,0.0
170,158844,2022,41,114691314,10,,D51,IS0057803S,2000,0,60.0,2021-10-25,2021-02-17,2.53,1.0,F06462,,0,4501153050.0,10,151.79999999999998
171,158845,2022,41,114736993,10,,D51,IS0057803S,2000,0,60.0,2021-10-30,2021-02-17,2.53,1.0,F06462,,0,4501165114.0,10,151.79999999999998
172,158847,2022,41,114744336,10,,MA0,4930482,2400,0,65.0,2021-10-30,2021-05-21,0.0,0.0,FM0136,,0,,0,0.0
173,158848,2022,41,114744337,10,,MA0,4930483,2400,0,130.0,2021-10-30,2021-05-21,0.0,0.0,FM0136,,0,,0,0.0
174,158849,2022,41,114744341,10,,MA0,4930459,2400,0,1.0,2021-10-30,2021-09-09,0.0,0.0,F05699,4600002213.0,730,,0,0.0
